,upc,sku,
426,8.84116E+11,292336521,1
427,8.89894E+11,288375735,1
428,6.41676E+11,0,0
429,8.86228E+11,292335432,1
430,8.84116E+11,0,0
431,8.879E+11,271838125,1
432,8.86228E+11,0,0
433,8.879E+11,265607810,1
434,8.89801E+11,0,0
435,8.88183E+11,0,0
436,8.88864E+11,290663870,1
437,7.95962E+11,0,0
438,8.89955E+11,289208928,1
439,8.84116E+11,0,0
440,8.88863E+11,0,0
441,8.88966E+11,0,0
442,8.84116E+11,0,0
443,8.86228E+11,0,0
444,8.88864E+11,290195559,1
445,22265896495,285916194,1
446,8.87899E+11,258369672,1
447,8.898E+11,292336174,1
448,8.89296E+11,0,0
449,8.86228E+11,292339862,1
450,8.89233E+11,276650639,1
451,8.89297E+11,0,0
452,8.84116E+11,0,0
453,8.879E+11,276319272,1
454,22265965832,292341341,1
455,8.89895E+11,294785523,1
456,8.88864E+11,292051292,1
457,8.89296E+11,285726865,1
458,8.86228E+11,254174065,1
459,7.96891E+11,0,0
460,8.89895E+11,291690687,1
461,8.89234E+11,279188096,1
462,8.56094E+11,0,0
463,6.47206E+11,0,0
464,8.84116E+11,270617640,1
465,7.8692E+11,0,0
466,8.88794E+11,270163053,1
467,8.88772E+11,265461409,1
468,8.89233E+11,276888787,1
469,8.88793E+11,292333222,1
470,8.88794E+11,0,0
471,8.88863E+11,289116065,1
472,8.89661E+11,0,0
473,22265879726,0,0
474,7.87468E+11,0,0
475,8.89233E+11,276476316,1
476,8.879E+11,0,0
477,8.89297E+11,0,0
478,1.90152E+11,0,0
479,8.1973E+11,0,0
480,8.879E+11,0,0
481,8.88793E+11,285928523,1
482,7.81462E+11,0,0
483,21200527814,0,0
484,22265927892,285570946,1
485,8.89894E+11,297509655,1
486,8.87899E+11,260974729,1
487,8.88863E+11,277111445,1
488,8.84116E+11,276661931,1
489,8.89661E+11,0,0
490,7.02706E+11,0,0
491,8.84116E+11,292341267,1
492,8.89894E+11,0,0
493,8.84116E+11,0,0
494,8.879E+11,277111437,1
495,8.88793E+11,0,0
496,8.85909E+11,0,0
497,8.84116E+11,268141845,1
498,8.85909E+11,210459854,1
499,8.89297E+11,281800383,1
500,8.88863E+11,292342371,1
501,8.89894E+11,292333710,1
502,8.84116E+11,0,0
503,8.89349E+11,287875108,1
504,8.88794E+11,292340823,1
505,8.88793E+11,275597008,1
506,8.89296E+11,292333392,1
507,8.84116E+11,0,0
508,7.2492E+11,0,0
509,8.84116E+11,0,0
510,7.25184E+11,0,0
511,8.89297E+11,282382881,1
512,8.89894E+11,0,0
513,8.88864E+11,290195575,1
514,7.8692E+11,0,0
515,7.4223E+11,0,0
516,7.15408E+11,0,0
517,6.16983E+11,0,0
518,7.95962E+11,0,0
519,8.89899E+11,0,0
520,1.90152E+11,293243696,1
521,7.15408E+11,0,0
522,1.90152E+11,294600069,1
